No,start_x,start_y,x_width,y_width,x_end,y_end
1,900,702,245,247,1145,949
2,1369,708,246,246,1615,954
3,1831,701,261,265,2092,966
4,2299,713,256,264,2555,977
5,2762,721,263,259,3025,980
6,3238,727,253,247,3491,974
7,887,1164,216,225,1103,1389
8,1375,1162,235,243,1610,1405
9,1829,1187,253,233,2082,1420
10,2297,1189,250,231,2547,1420
11,2781,1189,236,227,3017,1416
12,3238,1195,245,239,3483,1434
13,893,1629,238,236,1131,1865
14,1355,1640,263,239,1618,1879
15,1837,1640,239,242,2076,1882
16,2305,1652,244,238,2549,1890
17,2771,1650,241,251,3012,1901
18,3224,1655,261,252,3485,1907
19,878,2092,256,260,1134,2352
20,1369,2098,238,268,1607,2366
21,1820,2098,256,260,2076,2358
22,2288,2109,255,232,2543,2341
23,2759,2108,253,254,3012,2362
24,3225,2111,257,258,3482,2369