300 0,930 483 0,0341 000
301 0,967 643 0,360 140
302 1,005 97 0,686 180
303 1,045 49 1,012 22
304 1,086 23 1,338 26
305 1,128 21 1,664 30
306 1,171 47 1,990 34
307 1,216 02 2,316 38
308 1,261 88 2,642 42
309 1,309 10 2,968 46
310 1,357 69 3,294 50
311 1,407 68 4,988 65
312 1,459 10 6,682 80
313 1,511 98 8,376 95
314 1,566 33 10,071 1
315 1,622 19 11,765 2
316 1,679 59 13,459 4
317 1,738 55 15,153 5
318 1,799 10 16,847 7
319 1,861 27 18,541 8
320 1,925 08 20,236 0
321 1,990 57 21,917 7
322 2,057 76 23,599 5
323 2,126 67 25,281 2
324 2,197 34 26,963 0
325 2,269 80 28,644 7
326 2,344 06 30,326 5
327 2,420 17 32,008 2
328 2,498 14 33,690 0
329 2,578 01 35,371 7
330 2,659 81 37,053 5
331 2,743 55 37,343 0
332 2,829 28 37,632 6
333 2,917 01 37,922 1
334 3,006 78 38,211 6
335 3,098 61 38,501 1
336 3,192 53 38,790 7
337 3,288 57 39,080 2
338 3,386 76 39,369 7
339 3,487 12 39,659 3
340 3,589 68 39,948 8
341 3,694 47 40,445 1
342 3,801 52 40,941 4
343 3,910 85 41,437 7
344 4,022 50 41,934 0
345 4,136 48 42,430 2
346 4,252 82 42,926 5
347 4,371 56 43,422 8
348 4,492 72 43,919 1
349 4,616 31 44,415 4
350 4,742 38 44,911 7
351 4,870 95 45,084 4
352 5,002 04 45,257 0
353 5,135 68 45,429 7
354 5,271 89 45,602 3
355 5,410 70 45,775 0
356 5,552 13 45,947 7
357 5,696 22 46,120 3
358 5,842 98 46,293 0
359 5,992 44 46,465 6
360 6,144 62 46,638 3
361 6,299 55 47,183 4
362 6,457 24 47,728 5
363 6,617 74 48,273 5
364 6,781 05 48,818 6
365 6,947 20 49,363 7
366 7,116 21 49,908 8
367 7,288 11 50,453 9
368 7,462 92 50,998 9
369 7,640 66 51,544 0
370 7,821 35 52,089 1
371 8,005 01 51,877 7
372 8,191 67 51,666 4
373 8,381 34 51,455 0
374 8,574 04 51,243 7
375 8,769 80 51,032 3
376 8,968 64 50,820 9
377 9,170 56 50,609 6
378 9,375 61 50,398 2
379 9,583 78 50,186 9
380 9,795 10 49,975 5
381 10,009 6 50,442 8
382 10,227 3 50,910 0
383 10,448 1 51,377 3
384 10,672 2 51,844 6
385 10,899 6 52,311 8
386 11,130 2 52,779 1
387 11,364 0 53,246 4
388 11,601 2 53,713 7
389 11,841 6 54,180 9
390 12,085 3 54,648 2
391 12,332 4 57,458 9
392 12,582 8 60,269 5
393 12,836 6 63,080 2
394 13,093 8 65,890 9
395 13,354 3 68,701 5
396 13,618 2 71,512 2
397 13,885 5 74,322 9
398 14,156 3 77,133 6
399 14,430 4 79,944 2
400 14,708 0 82,754 9
401 14,989 1 83,628 0
402 15,273 6 84,501 1
403 15,561 6 85,374 2
404 15,853 0 86,247 3
405 16,148 0 87,120 4
406 16,446 4 87,993 6
407 16,748 4 88,866 7
408 17,053 8 89,739 8
409 17,362 8 90,612 9
410 17,675 3 91,486 0
411 17,991 3 91,680 6
412 18,310 8 91,875 2
413 18,633 9 92,069 7
414 18,960 5 92,264 3
415 19,290 7 92,458 9
416 19,624 4 92,653 5
417 19,961 7 92,848 1
418 20,302 6 93,042 6
419 20,647 0 93,237 2
420 20,995 0 93,431 8
421 21,346 5 92,756 8
422 21,701 6 92,081 9
423 22,060 3 91,406 9
424 22,422 5 90,732 0
425 22,788 3 90,057 0
426 23,157 7 89,382 1
427 23,530 7 88,707 1
428 23,907 2 88,032 2
429 24,287 3 87,357 2
430 24,670 9 86,682 3
431 25,058 1 88,500 6
432 25,448 9 90,318 8
433 25,843 2 92,137 1
434 26,241 1 93,955 4
435 26,642 5 95,773 6
436 27,047 5 97,591 9
437 27,456 0 99,410 2
438 27,868 1 101,228
439 28,283 6 103,047
440 28,702 7 104,865
441 29,125 3 106,079
442 29,551 5 107,294
443 29,981 1 108,508
444 30,414 2 109,722
445 30,850 8 110,936
446 31,290 9 112,151
447 31,734 5 113,365
448 32,181 5 114,579
449 32,632 0 115,794
450 33,085 9 117,008
451 33,543 2 117,088
452 34,004 0 117,169
453 34,468 2 117,249
454 34,935 8 117,330
455 35,406 8 117,410
456 35,881 1 117,490
457 36,358 8 117,571
458 36,839 9 117,651
459 37,324 3 117,732
460 37,812 1 117,812
461 38,303 1 117,517
462 38,797 5 117,222
463 39,295 1 116,927
464 39,796 0 116,632
465 40,300 2 116,336
466 40,807 6 116,041
467 41,318 2 115,746
468 41,832 0 115,451
469 42,349 1 115,156
470 42,869 3 114,861
471 43,392 6 114,967
472 43,919 2 115,073
473 44,448 8 115,180
474 44,981 6 115,286
475 45,517 4 115,392
476 46,056 3 115,498
477 46,598 3 115,604
478 47,143 3 115,711
479 47,691 3 115,817
480 48,242 3 115,923
481 48,796 3 115,212
482 49,353 3 114,501
483 49,913 2 113,789
484 50,476 0 113,078
485 51,041 8 112,367
486 51,610 4 111,656
487 52,181 8 110,945
488 52,756 1 110,233
489 53,333 2 109,522
490 53,913 2 108,811
491 54,495 8 108,865
492 55,081 3 108,920
493 55,669 4 108,974
494 56,260 3 109,028
495 56,853 9 109,082
496 57,450 1 109,137
497 58,048 9 109,191
498 58,650 4 109,245
499 59,254 5 109,300
500 59,861 1 109,354
501 60,470 3 109,199
502 61,082 0 109,044
503 61,696 2 108,888
504 62,312 8 108,733
505 62,932 0 108,578
506 63,553 5 108,423
507 64,177 5 108,268
508 64,803 8 108,112
509 65,432 5 107,957
510 66,063 5 107,802
511 66,696 8 107,501
512 67,332 4 107,200
513 67,970 2 106,898
514 68,610 2 106,597
515 69,252 5 106,296
516 69,896 9 105,995
517 70,543 5 105,694
518 71,192 2 105,392
519 71,843 0 105,091
520 72,495 9 104,790
521 73,150 8 105,080
522 73,807 7 105,370
523 74,466 6 105,660
524 75,127 5 105,950
525 75,790 3 106,239
526 76,455 1 106,529
527 77,121 7 106,819
528 77,790 2 107,109
529 78,460 5 107,399
530 79,132 6 107,689
531 79,806 5 107,361
532 80,482 1 107,032
533 81,159 5 106,704
534 81,838 6 106,375
535 82,519 3 106,047
536 83,201 7 105,719
537 83,885 6 105,390
538 84,571 2 105,062
539 85,258 4 104,733
540 85,947 0 104,405
541 86,637 2 104,369
542 87,328 8 104,333
543 88,021 9 104,297
544 88,716 5 104,261
545 89,412 4 104,225
546 90,109 7 104,190
547 90,808 3 104,154
548 91,508 2 104,118
549 92,209 5 104,082
550 92,912 0 104,046
551 93,615 7 103,641
552 94,320 6 103,237
553 95,026 7 102,832
554 95,733 9 102,428
555 96,442 3 102,023
556 97,151 8 101,618
557 97,862 3 101,214
558 98,573 9 100,809
559 99,286 4 100,405
560 100,000 100,000
561 100,715 99,633 4
562 101,430 99,266 8
563 102,146 98,900 3
564 102,864 98,533 7
565 103,582 98,167 1
566 104,301 97,800 5
567 105,020 97,433 9
568 105,741 97,067 4
569 106,462 96,700 8
570 107,184 96,334 2
571 107,906 96,279 6
572 108,630 96,225 0
573 109,354 96,170 3
574 110,078 96,115 7
575 110,803 96,061 1
576 111,529 96,006 5
577 112,255 95,951 9
578 112,982 95,897 2
579 113,709 95,842 6
580 114,436 95,788 0
581 115,164 95,077 8
582 115,893 94,367 5
583 116,622 93,657 3
584 117,351 92,947 0
585 118,080 92,236 8
586 118,810 91,526 6
587 119,540 90,816 3
588 120,270 90,106 1
589 121,001 89,395 8
590 121,731 88,685 6
591 122,462 88,817 7
592 123,193 88,949 7
593 123,924 89,081 8
594 124,655 89,213 8
595 125,386 89,345 9
596 126,118 89,478 0
597 126,849 89,610 0
598 127,58 89,742 1
599 128,312 89,874 1
600 129,043 90,006 2
601 129,774 89,965 5
602 130,505 89,924 8
603 131,236 89,884 1
604 131,966 89,843 4
605 132,697 89,802 6
606 133,427 89,761 9
607 134,157 89,721 2
608 134,887 89,680 5
609 135,617 89,639 8
610 136,346 89,599 1
611 137,075 89,409 1
612 137,804 89,219 0
613 138,532 89,029 0
614 139,260 88,838 9
615 139,988 88,648 9
616 140,715 88,458 9
617 141,441 88,268 8
618 142,167 88,078 8
619 142,893 87,888 7
620 143,618 87,698 7
621 144,343 87,257 7
622 145,067 86,816 7
623 145,790 86,375 7
624 146,513 85,934 7
625 147,235 85,493 6
626 147,957 85,052 6
627 148,678 84,611 6
628 149,398 84,170 6
629 150,117 83,729 6
630 150,836 83,288 6
631 151,554 83,329 7
632 152,271 83,370 7
633 152,988 83,411 8
634 153,704 83,452 8
635 154,418 83,493 9
636 155,132 83,535 0
637 155,845 83,576 0
638 156,558 83,617 1
639 157,269 83,658 1
640 157,979 83,699 2
641 158,689 83,332 0
642 159,397 82,964 7
643 160,104 82,597 5
644 160,811 82,230 2
645 161,516 81,863 0
646 162,221 81,495 8
647 162,924 81,128 5
648 163,626 80,761 3
649 164,327 80,394 0
650 165,028 80,026 8
651 165,726 80,045 6
652 166,424 80,064 4
653 167,121 80,083 1
654 167,816 80,101 9
655 168,510 80,120 7
656 169,203 80,139 5
657 169,895 80,158 3
658 170,586 80,177 0
659 171,275 80,195 8
660 171,963 80,214 6
661 172,650 80,420 9
662 173,335 80,627 2
663 174,019 80,833 6
664 174,702 81,039 9
665 175,383 81,246 2
666 176,063 81,452 5
667 176,741 81,658 8
668 177,419 81,865 2
669 178,094 82,071 5
670 178,769 82,277 8
671 179,441 81,878 4
672 180,113 81,479 1
673 180,783 81,079 7
674 181,451 80,680 4
675 182,118 80,281 0
676 182,783 79,881 6
677 183,447 79,482 3
678 184,109 79,082 9
679 184,770 78,683 6
680 185,429 78,284 2
681 186,087 77,427 9
682 186,743 76,571 6
683 187,397 75,715 3
684 188,050 74,859 0
685 188,701 74,002 7
686 189,350 73,146 5
687 189,998 72,290 2
688 190,644 71,433 9
689 191,288 70,577 6
690 191,931 69,721 3
691 192,572 69,910 1
692 193,211 70,098 9
693 193,849 70,287 6
694 194,484 70,476 4
695 195,118 70,665 2
696 195,750 70,854 0
697 196,381 71,042 8
698 197,009 71,231 5
699 197,636 71,420 3
700 198,261 71,609 1
701 198,884 71,883 1
702 199,506 72,157 1
703 200,125 72,431 1
704 200,743 72,705 1
705 201,359 72,979 0
706 201,972 73,253 0
707 202,584 73,527 0
708 203,195 73,801 0
709 203,803 74,075 0
710 204,409 74,349 0
711 205,013 73,074 5
712 205,616 71,800 0
713 206,216 70,525 5
714 206,815 69,251 0
715 207,411 67,976 5
716 208,006 66,702 0
717 208,599 65,427 5
718 209,189 64,153 0
719 209,778 62,878 5
720 210,365 61,604 0
721 210,949 62,432 2
722 211,532 63,260 3
723 212,112 64,088 5
724 212,691 64,916 6
725 213,268 65,744 8
726 213,842 66,573 0
727 214,415 67,401 1
728 214,985 68,229 3
729 215,553 69,057 4
730 216,120 69,885 6
731 216,684 70,405 7
732 217,246 70,925 9
733 217,806 71,446 0
734 218,364 71,966 2
735 218,920 72,486 3
736 219,473 73,006 4
737 220,025 73,526 6
738 220,574 74,046 7
739 221,122 74,566 9
740 221,667 75,087 0
741 222,210 73,937 6
742 222,751 72,788 1
743 223,290 71,638 7
744 223,826 70,489 3
745 224,361 69,339 8
746 224,893 68,190 4
747 225,423 67,041 0
748 225,951 65,891 6
749 226,477 64,742 1
750 227,000 63,592 7
751 227,522 61,875 2
752 228,041 60,157 8
753 228,558 58,440 3
754 229,073 56,722 9
755 229,585 55,005 4
756 230,096 53,288 0
757 230,604 51,570 5
758 231,110 49,853 1
759 231,614 48,135 6
760 232,115 46,418 2
761 232,615 48,456 9
762 233,112 50,495 6
763 233,606 52,534 4
764 234,099 54,573 1
765 234,589 56,611 8
766 235,078 58,650 5
767 235,564 60,689 2
768 236,047 62,728 0
769 236,529 64,766 7
770 237,008 66,805 4
771 237,485 66,463 1
772 237,959 66,120 9
773 238,432 65,778 6
774 238,902 65,436 4
775 239,370 65,094 1
776 239,836 64,751 8
777 240,299 64,409 6
778 240,760 64,067 3
779 241,219 63,725 1
780 241,675 63,382 8
781 242,130 63,474 9
782 242,582 63,567 0
783 243,031 63,659 2
784 243,479 63,751 3
785 243,924 63,843 4
786 244,367 63,935 5
787 244,808 64,027 6
788 245,246 64,119 8
789 245,682 64,211 9
790 246,116 64,304 0
791 246,548 63,818 8
792 246,977 63,333 6
793 247,404 62,848 4
794 247,829 62,363 2
795 248,251 61,877 9
796 248,671 61,392 7
797 249,089 60,907 5
798 249,505 60,422 3
799 249,918 59,937 1
800 250,329 59,451 9
801 250,738 58,702 6
802 251,144 57,953 3
803 251,548 57,204 0
804 251,950 56,454 7
805 252,350 55,705 4
806 252,747 54,956 2
807 253,142 54,206 9
808 253,535 53,457 6
809 253,925 52,708 3
810 254,314 51,959 0
811 254,700 52,507 2
812 255,083 53,055 3
813 255,465 53,603 5
814 255,844 54,151 6
815 256,221 54,699 8
816 256,595 55,248 0
817 256,968 55,796 1
818 257,338 56,344 3
819 257,706 56,892 4
820 258,071 57,440 6
821 258,434 57,727 8
822 258,795 58,015 0
823 259,154 58,302 2
824 259,511 58,589 4
825 259,865 58,876 5
826 260,217 59,163 7
827 260,567 59,450 9
828 260,914 59,738 1
829 261,259 60,025 3
830 261,602 60,312 5
